Region	Subregion	Country
Asia		Afghanistan
Europe	Independent	Albania
Africa	Northern Africa	Algeria
Europe	Independent	Andorra
Africa	Middle Africa	Angola
The Americas	Caribbean	Anguilla
The Americas	Caribbean	Antigua and Barbuda
The Americas	South America	Argentina
Asia		Armenia
The Americas	Caribbean	Aruba
Oceania		Australia
Europe	European Union	Austria
Asia		Azerbaijan
The Americas	Caribbean	"Bahamas, The"
Middle East		Bahrain
Asia		Bangladesh
The Americas	Caribbean	Barbados
Europe	Independent	Belarus
Europe	European Union	Belgium
The Americas	Central America	Belize
Africa	Western Africa	Benin
The Americas	North America	Bermuda
Asia		Bhutan
The Americas	South America	Bolivia
The Americas	Caribbean	"Bonaire, Saint Eustatius and Saba"
Europe	Independent	Bosnia and Herzegovina
Africa	Southern Africa	Botswana
The Americas	South America	Brazil
The Americas	Caribbean	British Virgin Islands
Asia		Brunei Darussalam
Europe	European Union	Bulgaria
Africa	Western Africa	Burkina Faso
Africa	Eastern Africa	Burundi
Asia		Cambodia
Africa	Middle Africa	Cameroon
The Americas	North America	Canada
Africa	Western Africa	Cape Verde
The Americas	Caribbean	Cayman Islands
Africa	Middle Africa	Central African Republic
Africa	Middle Africa	Chad
The Americas	South America	Chile
Asia		China
The Americas	South America	Colombia
Africa	Eastern Africa	Comoros
Africa	Middle Africa	"Congo, Dem. Rep."
Africa	Middle Africa	"Congo, Rep."
The Americas	Central America	Costa Rica
Africa	Western Africa	Cote d'Ivoire
Europe	Independent	Croatia
The Americas	Caribbean	Cuba
The Americas	Caribbean	Curacao
Europe	European Union	Cyprus
Europe	European Union	Czech Republic
Europe	European Union	Denmark
Africa	Eastern Africa	Djibouti
The Americas	Caribbean	Dominica
The Americas	Caribbean	Dominican Republic
The Americas	South America	Ecuador
Africa	Northern Africa	"Egypt, Arab Rep."
The Americas	Central America	El Salvador
Africa	Middle Africa	Equatorial Guinea
Africa	Eastern Africa	Eritrea
Europe	European Union	Estonia
Africa	Eastern Africa	Ethiopia
Europe	Independent	European Union
The Americas	South America	Falkland Islands (Malvinas)
Europe	Independent	Faeroe Islands
Oceania		Fiji
Europe	European Union	Finland
Europe	European Union	France
The Americas	South America	French Guiana
Oceania		French Polynesia
Africa	Middle Africa	Gabon
Africa	Western Africa	"Gambia, The"
Asia		Georgia
Europe	European Union	Germany
Africa	Western Africa	Ghana
Europe	Independent	Gibraltar
Europe	European Union	Greece
The Americas	North America	Greenland
The Americas	Caribbean	Grenada
