Country Name,Date,Total Population,Mobile subscribers,Health:mortality under-5,Internet users per 100 people,GDP per capita,Mobile subscribers per capita,log(GDP per capita),log(Health:mortality under-5),Region
"Congo, Dem. Rep.",7/1/2000,49626200,15000,181,0,87,0.000302,4.465908,5.198497,Africa
Ethiopia,7/1/2000,65577897,17757,141,0,125,0.000271,4.828314,4.948760,Africa
Burundi,7/1/2000,6374347,16320,164,0,131,0.002560,4.875197,5.099866,Africa
Sierra Leone,7/1/2000,4143115,11940,233,0,153,0.002882,5.030438,5.451038,Africa
Malawi,7/1/2000,11228756,49000,167,0,155,0.004364,5.043425,5.117994,Africa
Niger,7/1/2000,10922421,2056,218,0,165,0.000188,5.105945,5.384495,Africa
Chad,7/1/2000,8222327,5500,190,0,168,0.000669,5.123964,5.247024,Africa
Eritrea,7/1/2000,3667576,0,93,0,173,0.0,5.153292,4.532599,Africa
Guinea-Bissau,7/1/2000,1240655,0,177,0,174,0.0,5.159055,5.176150,Africa
Liberia,7/1/2000,2847290,1500,169,0,186,0.000527,5.225747,5.129899,Africa
Burkina Faso,7/1/2000,12294012,25245,191,0,212,0.002053,5.356586,5.252273,Africa
Mali,7/1/2000,11295324,10398,213,0,214,0.000921,5.365976,5.361292,Africa
Rwanda,7/1/2000,8098344,39000,177,0,214,0.004816,5.365976,5.176150,Africa
Mozambique,7/1/2000,18200656,51065,177,0,233,0.002806,5.451038,5.176150,Africa
Madagascar,7/1/2000,15364272,63094,102,0,252,0.004107,5.529429,4.624973,Africa
Uganda,7/1/2000,24213120,126913,144,0,256,0.005241,5.545177,4.969813,Africa
Central African Republic,7/1/2000,3701607,4967,176,0,259,0.001342,5.556828,5.170484,Africa
Ghana,7/1/2000,19165490,130045,99,0,260,0.006785,5.560682,4.595120,Africa
Togo,7/1/2000,4793504,50000,124,2,270,0.010431,5.598422,4.820282,Africa
Tanzania,7/1/2000,34038161,110518,130,0,308,0.003247,5.730100,4.867534,Africa
Zambia,7/1/2000,10201562,98853,157,0,317,0.009690,5.758902,5.056246,Africa
